lot,lot_id,contract,event_no,datetime,lat,lon,dist_m_system,flag,tx_hash
BaSao,600122,0xD3415B6246aa99cd6978C019583AbD5515d6D303,1,2026-07-20 08:45,10.59378563139132,105.70163152550757,26,ok,0x267d59de42573acc26a8a1fb87549dc40bf424b787dec677839c4a57efc7ca59
BaSao,600122,0xD3415B6246aa99cd6978C019583AbD5515d6D303,2,2026-07-20 09:13,10.593676790809319,105.70146494948521,10,ok,0x0f25e49297b2b14ef1f3150807e4823841fafeb3cb018e9d5b860433800a89cc
BaSao,600122,0xD3415B6246aa99cd6978C019583AbD5515d6D303,3,2026-07-20 09:17,10.59461778937912,105.70058880355856,0,ok,0x72e54bddd8b88b9ad8898cbcdfd53b8757ea3bcf408ad62aeafed84fc5496674
BaSao,600122,0xD3415B6246aa99cd6978C019583AbD5515d6D303,4,2026-07-20 10:25,10.593635517477438,105.70147235118282,12,ok,0xf74d1d83f814bb1a48a14e13e58e8fc429358b6c54c82aade333d5a9bc81d7dd
BaSao,600122,0xD3415B6246aa99cd6978C019583AbD5515d6D303,5,2026-07-20 13:42,10.589619566989429,105.69122047334164,0,ok,0xdf8801f6eed290a0c08920efbfead3ab6fd14e45cc00006ac001bac423466396
BaSao,600122,0xD3415B6246aa99cd6978C019583AbD5515d6D303,6,2026-07-20 13:51,10.589513841840493,105.69137253382382,0,ok,0xa4c7078100a8d73226673e334b2e1eac5dc9676a84ba3aa9e0163a11f5fd08c8
BaSao,600122,0xD3415B6246aa99cd6978C019583AbD5515d6D303,7,2026-07-20 14:11,10.570157649169303,105.68668297245226,0,ok,0x2327dce41ad2fd7fdda8f92d814276d8c538bce4f80ed95f566dc13986915a11
BaSao,600122,0xD3415B6246aa99cd6978C019583AbD5515d6D303,8,2026-07-20 14:20,10.569418007318445,105.68705417836318,0,ok,0xdbe76c353210b86f408109339cb9d6c95dfb2a45663b3c793b01d5309644be2f
BaSao,600122,0xD3415B6246aa99cd6978C019583AbD5515d6D303,9,2026-07-20 14:26,10.571061914339603,105.68776774649038,0,ok,0xe157dc30bddd5623eb3f90dc73608f4fc215170dd439d6ebdd85f1a9dd1a7932
BaSao,600122,0xD3415B6246aa99cd6978C019583AbD5515d6D303,10,2026-07-21 08:37,10.58985733493985,105.69092019864497,26,ok,0xbf48fc02183cc809b711dcbbed8e597ed7e4a314ef54a5abb4e1c62a3e4b1b02
